,random_forest-clinic,adaboost-clinic,scm-clinic,samba-clinic,decision_tree-clinic,random_scm-clinic,scm-mirna,decision_tree-methyl,decision_tree-mirna,scm-methyl,samba-methyl,random_forest-methyl,samba-mirna,adaboost-methyl,decision_tree-rna_iso,random_forest-mirna,decision_tree-rna,random_scm-mirna,adaboost-rna,random_scm-rna,scm-rna,scm-rna_iso,samba-rna_iso,adaboost-mirna,random_scm-methyl,adaboost-rna_iso,random_forest-rna,random_scm-rna_iso,random_forest-rna_iso,samba-rna
Train,0.7064220183486238,0.63726679934631,0.5149911816578483,0.6399284824361277,0.9798877077164538,0.6498713654676957,0.9462081128747795,1.0,1.0,0.964370661618368,0.9973544973544973,1.0,0.9460139475429996,1.0,1.0,0.9954128440366973,1.0,0.964192676730903,1.0,0.9955908289241622,0.9754785366406161,0.9783020241735838,0.9735368833228161,1.0,0.9768943255181788,1.0,0.9862385321100917,0.981829361034254,1.0,0.9726550491076484
Test,0.4973544973544973,0.49821249821249824,0.5052910052910053,0.54990704990705,0.5716430716430716,0.622050622050622,0.8771628771628772,0.8786643786643786,0.8977548977548977,0.9036179036179036,0.9409409409409409,0.9433004433004433,0.9541684541684542,0.9568139568139569,0.9568139568139569,0.9568139568139569,0.9570999570999571,0.9573859573859573,0.9703274703274702,0.9703274703274702,0.9703274703274702,0.9785499785499785,0.9811954811954813,0.9811954811954813,0.9814814814814814,0.9838409838409838,0.9838409838409838,0.9838409838409838,0.9838409838409838,0.9838409838409838
