,scm-clinic,random_scm-clinic,samba-clinic,decision_tree-clinic,adaboost-clinic,random_forest-clinic,scm-mirna,scm-methyl,decision_tree-mirna,decision_tree-methyl,random_scm-mirna,samba-methyl,decision_tree-rna,random_scm-methyl,random_forest-methyl,samba-mirna,scm-rna_iso,adaboost-methyl,random_forest-mirna,decision_tree-rna_iso,adaboost-mirna,adaboost-rna,samba-rna_iso,random_scm-rna,scm-rna,random_scm-rna_iso,adaboost-rna_iso,random_forest-rna,random_forest-rna_iso,samba-rna
Train,0.1863905325443787,0.5680473372781065,0.8062130177514792,0.9911242603550295,0.8639053254437871,0.9053254437869822,0.9097633136094675,0.9526627218934911,1.0,1.0,0.9585798816568046,0.9955621301775148,1.0,0.9674556213017751,1.0,0.977810650887574,0.9822485207100592,1.0,0.9985207100591716,1.0,1.0,1.0,0.9866863905325444,0.992603550295858,0.9837278106508875,0.9881656804733728,1.0,0.9955621301775148,1.0,0.985207100591716
Test,0.17256637168141592,0.5132743362831859,0.7743362831858407,0.7743362831858407,0.7787610619469025,0.831858407079646,0.8672566371681416,0.911504424778761,0.9380530973451328,0.9424778761061947,0.9469026548672567,0.9557522123893806,0.9646017699115044,0.9690265486725663,0.9778761061946902,0.9778761061946902,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9867256637168141,0.9867256637168141,0.9867256637168141,0.9867256637168141,0.9867256637168141,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761
