,scm-cylinder_data,samba-cylinder_data,random_scm-cylinder_data,random_forest-cylinder_data,decision_tree-cylinder_data,adaboost-cylinder_data
Train,0.7624831309041835,0.8370445344129555,0.7612460638776428,0.9766081871345029,1.0,1.0
Test,0.6319163292847503,0.6497975708502024,0.6713900134952766,0.691970310391363,0.7611336032388664,0.7651821862348178
