,hps,fit,pred
decision_tree-cylinder_data,1.7414868940031738,0.0022159399959491566,0.00018527400243328884
adaboost-cylinder_data,26.224025296003674,0.5147367760000634,0.03883528399455827
samba-cylinder_data,180.69288953000068,7.054971190998913,0.05279024099581875
random_forest-cylinder_data,47.131255491003685,0.5726338139938889,0.03368560699891532
random_scm-cylinder_data,45.06327529400005,1.034845943999244,0.04274161699868273
scm-cylinder_data,2.0580039440028486,0.004447454994078726,0.0001622019990463741
