,scm-cylinder_data,samba-cylinder_data,random_scm-cylinder_data,random_forest-cylinder_data,decision_tree-cylinder_data,adaboost-cylinder_data
Train,0.7901234567901234,0.8617283950617284,0.7950617283950617,0.980246913580247,1.0,1.0
Test,0.6592592592592592,0.6962962962962963,0.7185185185185186,0.725925925925926,0.7703703703703704,0.7777777777777778
