,scm-hepatitis_data,random_scm-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,random_forest-hepatitis_data
Train,0.7493990384615384,0.75,0.8780048076923077,1.0,0.8070913461538461,0.8377403846153846
Test,0.4920634920634921,0.5634920634920635,0.5714285714285714,0.5793650793650793,0.5793650793650793,0.6507936507936507
