,scm-hepatitis_data,random_scm-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,random_forest-hepatitis_data
Train,0.7413793103448276,0.75,0.8793103448275863,1.0,0.8189655172413793,0.8448275862068967
Test,0.48717948717948717,0.5641025641025641,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.6666666666666666
