,scm-australian,decision_tree-australian,random_scm-australian,adaboost-australian,samba-australian,random_forest-australian
Train,0.8613152804642166,0.8955512572533848,0.8663442940038684,0.9543520309477757,0.9001934235976788,0.9584139264990329
Train STD,0.006533596036384723,0.0461387251136424,0.009254060900507281,0.05731477705933808,0.04456472974420039,0.029641811364114
Test,0.8508670520231215,0.8526011560693642,0.8526011560693643,0.861271676300578,0.8647398843930635,0.8664739884393065
Test STD,0.01948242722121699,0.01758023852687347,0.019559450075940593,0.022387186972297204,0.020550738537145848,0.020098657399669057
