,decision_tree-australian,random_scm-australian,scm-australian,adaboost-australian,random_forest-australian,samba-australian
Train,0.8972019391001362,0.8720610513558551,0.8673587335252234,0.9542652628389637,0.9563263141948191,0.8994402363278292
Train STD,0.04422349174017372,0.007205699173706919,0.0054321710369453335,0.05748971591862597,0.030046228865674648,0.044382093850363374
Test,0.8561350108225108,0.859090909090909,0.8591991341991342,0.8613771645021643,0.8667072510822511,0.8669439935064934
Test STD,0.019115131686856416,0.019560275571243062,0.01834295862468727,0.022417358306816074,0.020716682332056018,0.019752042401275358
