,samba-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,0.6887089518668466,0.7318938371569951,1.0,0.7831758884390463,1.0,0.9941520467836258
Test,0.6936572199730094,0.701417004048583,0.7091767881241566,0.7196356275303644,0.7995951417004048,0.811740890688259
