,decision_tree-cylinder_data,scm-cylinder_data,samba-cylinder_data,random_scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,1.0,0.762962962962963,0.7358024691358025,0.8049382716049382,1.0,0.9950617283950617
Test,0.7185185185185186,0.7259259259259261,0.7333333333333333,0.7333333333333333,0.8148148148148148,0.837037037037037
