,decision_tree-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,1.0,0.914264131940073,0.914264131940073,0.9468085106382979,0.9379327709933274
Test,0.8526785714285714,0.8705357142857143,0.8839285714285714,0.8839285714285714,0.8973214285714286,0.921875
