,decision_tree-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,1.0,0.9201520912547528,0.9201520912547528,0.9619771863117871,0.9505703422053232
Test,0.8636363636363636,0.8863636363636365,0.8863636363636365,0.8863636363636365,0.9204545454545455,0.9431818181818182
