,hps,fit,pred
decision_tree-ionosphere_data,1.5738651330029825,0.010010268000769429,0.00017176400433527306
adaboost-ionosphere_data,22.771644746993843,0.09037724899826571,0.006019391003064811
samba-ionosphere_data,48.288807974997326,0.022969508994719945,0.01834462500119116
random_forest-ionosphere_data,31.974219135001476,0.6808992750011384,0.03479296400473686
random_scm-ionosphere_data,33.60725309699774,0.33774307899875566,0.02504184300050838
scm-ionosphere_data,1.665433906004182,0.0017543420035508461,0.00013041200145380571
