,hps,fit,pred
decision_tree-hepatitis_data,1.2780700549992616,0.0007471110002370551,0.00014681099855806679
adaboost-hepatitis_data,16.70532497000022,0.021776596000563586,0.0029026810007053427
samba-hepatitis_data,42.34920423099902,1.4057064019980317,0.0173457730015798
random_forest-hepatitis_data,30.811956962003023,0.11389424499793677,0.00829583199811168
random_scm-hepatitis_data,28.71894643199994,0.09209606600052211,0.006568798999069259
scm-hepatitis_data,1.6179079700013972,0.0013662210003531072,0.00012904299728688784
