,adaboost-hepatitis_data,scm-hepatitis_data,decision_tree-hepatitis_data,samba-hepatitis_data,random_forest-hepatitis_data,random_scm-hepatitis_data
Train,0.7672413793103448,0.7586206896551724,0.75,0.6724137931034483,0.8275862068965517,0.7844827586206896
Test,0.6666666666666666,0.6923076923076923,0.717948717948718,0.717948717948718,0.717948717948718,0.7435897435897437
