,adaboost-hepatitis_data,scm-hepatitis_data,samba-hepatitis_data,decision_tree-hepatitis_data,random_forest-hepatitis_data,random_scm-hepatitis_data
Train,0.7620192307692308,0.7704326923076923,0.6580528846153846,0.7409855769230769,0.8149038461538461,0.7866586538461539
Test,0.6507936507936507,0.6984126984126984,0.7023809523809523,0.7103174603174603,0.7103174603174603,0.746031746031746
