,scm-pima,random_scm-pima,decision_tree-pima,adaboost-pima,random_forest-pima,samba-pima
Train,0.7534722222222221,0.7777777777777778,1.0,0.8767361111111112,0.9618055555555556,0.8038194444444444
Test,0.6822916666666666,0.71875,0.7239583333333333,0.7291666666666665,0.7291666666666665,0.7395833333333334
