,scm-pima,decision_tree-pima,adaboost-pima,random_forest-pima,samba-pima,random_scm-pima
Train,0.7333333333333334,1.0,0.8499303482587064,0.9487363184079602,0.7535323383084578,0.7623880597014925
Test,0.6625074626865671,0.6806567164179105,0.6811940298507462,0.6811940298507462,0.6822686567164179,0.6974328358208955
