,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,decision_tree-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7597156977882169,0.7597156977882169,0.7765487375220199,0.783201213544725,0.7979863965550988,0.8899466627520063
Test,0.7654466601221961,0.7654466601221961,0.7675308786684444,0.7696096027897027,0.7943583244201551,0.7962612269417297
