,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,decision_tree-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7598978288633461,0.7598978288633461,0.776500638569604,0.7828863346104725,0.7978927203065133,0.8898467432950191
Test,0.7655502392344498,0.7655502392344498,0.7674641148325358,0.769377990430622,0.7942583732057417,0.7961722488038279
