,decision_tree,adaboost,samba,random_forest,random_scm,scm
0,0.0,0.0,0.0,0.18404036096673737,0.09979416924844978,0.0
1,0.0,0.0,0.0,0.018243542870410967,0.01741566798078635,0.0
2,0.0,0.0,0.0,0.20738489580231537,0.12721596333280594,0.0
3,1.0,1.0,1.0,0.3594855353118357,0.40390615994666224,1.0
4,0.0,0.0,0.0,0.01321730849296458,0.020145666267870812,0.0
5,0.0,0.0,0.0,0.02052280770573477,0.01506710105188826,0.0
6,0.0,0.0,0.0,0.0008848239440014569,0.03076757063137018,0.0
7,0.0,0.0,0.0,0.06927213381814197,0.056784447757511826,0.0
8,0.0,0.0,0.0,0.014723260341986372,0.028184346165625446,0.0
9,0.0,0.0,0.0,0.017628216505637253,0.0463588803876744,0.0
10,0.0,0.0,0.0,0.005588129173475459,0.029559321504777684,0.0
11,0.0,0.0,0.0,0.0021228789364105246,0.0266389568715862,0.0
12,0.0,0.0,0.0,0.030053687453572446,0.031737542568140945,0.0
13,0.0,0.0,0.0,0.003183688412134622,0.01651599276154399,0.0
14,0.0,0.0,0.0,0.0010525243949766022,0.024194973564265865,0.0
15,0.0,0.0,0.0,0.052596205869664604,0.025713239959040124,0.0
