,decision_tree-Abalone_data,scm-Abalone_data,random_scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,1.0,0.7580275004893325,0.757445194754355,0.9990384615384615,0.8064958896065766,0.8838936191035427
Test,0.7128943165667903,0.7519560152964792,0.7567819519127925,0.7839500520138899,0.7971110313402001,0.8058471670744751
