,decision_tree-Abalone_data,scm-Abalone_data,random_scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,1.0,0.758301404853129,0.7576628352490421,0.9990421455938697,0.8065134099616859,0.8837803320561941
Test,0.7129186602870813,0.7521531100478469,0.7569377990430622,0.783732057416268,0.7971291866028708,0.8057416267942584
