,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,samba-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.5300988319856245,0.6388140161725068,0.9371069182389937,0.9442946990116802,0.8984725965858041,0.8921832884097035
Test,0.5148247978436657,0.5929919137466307,0.6954177897574124,0.7115902964959567,0.7358490566037735,0.7466307277628033
