,samba-yeast_data,scm-yeast_data,random_scm-yeast_data,random_forest-yeast_data,decision_tree-yeast_data,adaboost-yeast_data
Train,0.9287909797518454,0.6428525744727278,0.6903070706766691,0.8523111188027178,0.9298744930436942,0.8687030195408612
Test,0.6304259634888438,0.6353110209601082,0.6404834347532116,0.6582657200811359,0.658603786342123,0.6598208248816768
