,scm-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,random_forest-hepatitis_data,random_scm-hepatitis_data,samba-hepatitis_data
Train,0.7155172413793104,0.7672413793103448,0.7586206896551724,0.7241379310344829,0.732758620689655,0.7413793103448276
Test,0.6410256410256411,0.6923076923076923,0.717948717948718,0.717948717948718,0.717948717948718,0.7435897435897437
