,scm-hepatitis_data,decision_tree-hepatitis_data,random_forest-hepatitis_data,adaboost-hepatitis_data,random_scm-hepatitis_data,samba-hepatitis_data
Train,0.6844951923076923,0.7512019230769231,0.6995192307692308,0.7487980769230769,0.7433894230769231,0.7259615384615384
Test,0.6190476190476191,0.6785714285714286,0.7023809523809523,0.7142857142857142,0.7301587301587301,0.7341269841269842
