,scm-yeast_data,decision_tree-yeast_data,samba-yeast_data,random_scm-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.6447129818436279,1.0,0.9768342600883364,0.6649479687887977,0.721616090172384,0.7960286228094597
Test,0.6412271805273834,0.6448782961460446,0.6523495605138607,0.6541582150101419,0.6609364435429343,0.6927484787018255
