,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,samba-yeast_data,random_forest-yeast_data
Train,0.5543575920934412,0.5822102425876011,1.0,0.7448337825696316,0.9811320754716981,0.8472596585804133
Test,0.555256064690027,0.5633423180592992,0.6765498652291105,0.6792452830188679,0.706199460916442,0.7681940700808625
