,samba-cylinder_data,decision_tree-cylinder_data,random_scm-cylinder_data,scm-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.762962962962963,1.0,0.782716049382716,0.7703703703703704,0.9851851851851852,1.0
Test,0.7333333333333333,0.7407407407407407,0.7481481481481481,0.7481481481481481,0.8000000000000002,0.8222222222222222
