,samba-cylinder_data,random_scm-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.75157444894287,0.7576473234367971,0.7516869095816464,1.0,0.9824561403508771,1.0
Test,0.7219973009446694,0.7300944669365722,0.7371794871794872,0.7402159244264508,0.786774628879892,0.8248987854251012
