,scm-Abalone_data,random_scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7669220945083014,0.7656449553001277,0.8116219667943806,0.7848020434227331,0.830779054916986,0.8955938697318008
Test,0.7444976076555024,0.7464114832535885,0.7492822966507177,0.7626794258373206,0.7722488038277512,0.7818181818181819
