,scm-Abalone_data,random_scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7667596398512428,0.7654311019769036,0.8119470542180466,0.7849285574476415,0.8308524173027989,0.8957379134860051
Test,0.7443498996351702,0.7462418133067648,0.7495439627258209,0.7627708751520124,0.7722853877598863,0.7818988000175822
