Sample	Lachnospiraceae	Bacteroidaceae	Ruminococcaceae	Clostridiaceae	Eubacteriaceae	Porphyromonadaceae	Oscillospiraceae	Enterobacteriaceae	Rikenellaceae	Bacillaceae	Peptostreptococcaceae	Paenibacillaceae	Sutterellaceae	Lactobacillaceae	Peptococcaceae	Enterococcaceae	Streptococcaceae	Prevotellaceae	Flavobacteriaceae	Siphoviridae	Peptoniphilaceae	Myoviridae	Marinilabiliaceae	Yersiniaceae	Podoviridae	Burkholderiaceae	Staphylococcaceae	Planococcaceae	Comamonadaceae	Listeriaceae	Carnobacteriaceae	Erwiniaceae	Rhodobacteraceae	Oxalobacteraceae	Moraxellaceae	Alicyclobacillaceae	Alteromonadaceae	Leuconostocaceae	Micrococcaceae	Bradyrhizobiaceae	Methylocystaceae	Pectobacteriaceae	Synechococcaceae	Rhizobiaceae	Pseudomonadaceae	Morganellaceae	Syntrophomonadaceae	Alcaligenaceae	Aerococcaceae	Sporolactobacillaceae	Mycobacteriaceae	Microbacteriaceae	Thermoactinomycetaceae	Cyanothecaceae	Shewanellaceae	Corynebacteriaceae	Cryomorphaceae	Phyllobacteriaceae	Stigonemataceae	Pseudoalteromonadaceae	Nocardiaceae	Hyphomonadaceae	Methylobacteriaceae	Hyphomicrobiaceae	Cellvibrionaceae	Bartonellaceae	Streptomycetaceae	Debaryomycetaceae	Rhodobiaceae	Xanthobacteraceae	Cellulomonadaceae	Intrasporangiaceae	Merismopediaceae	Dermatophilaceae	Idiomarinaceae	Aurantimonadaceae	Saccharomycetaceae	Dermabacteraceae	Psychromonadaceae	Gordoniaceae	Microviridae	Beijerinckiaceae	Colwelliaceae	Brevibacteriaceae	Promicromonosporaceae	Brucellaceae	Rhodomelaceae	Blattabacteriaceae	Dermacoccaceae	Nectriaceae	Drosophilidae	Arthrodermataceae	Tectiviridae	Hypocreaceae	Hominidae	Inoviridae	Clavicipitaceae	Sordariaceae	Sarcocystidae	Chaetomiaceae	Retroviridae
NielsenHB_2014_MH0002	0.223529	0.267700	0.166949	0.073536	0.066812	0.058726	0.033649	0.003632	0.052605	0.007002	0.004106	0.007464	0.006083	0.001779	0.004953	0.001738	0.002112	0.000592	0.003471	0.000941	0.001327	0.002225	0.000332	0.000206	0.000247	0.000740	0.000472	0.000398	0.000148	0.000372	0.000297	0.000110	0.000255	0.000817	0.000321	0.000344	0.000153	0.000073	0.000098	0.000407	0.000421	0.000079	0.000172	0.000231	0.000136	0.000071	0.000235	0.000182	0.000147	0.000070	0.000129	0.000062	0.000126	0.000104	0.000109	0.000053	0.000038	0.000112	0.000062	0.000086	0.000031	0.000057	0.000032	0.000055	0.000022	0.000050	0.000096	0.000007	0.000055	0.000012	0.000005	0.000022	0.000011	0.000001	0.000036	0.000016	0.000071	0.000002	0.000011	0.000003	0.000003	0.000016	0.000010	0.000008	0	0.000005	0.000003	0.000002	0.000004	0.000001	0	0	0	0	0.000001	0	0	0	0	0	0
NielsenHB_2014_MH0006	0.315742	0.263400	0.100884	0.086312	0.069499	0.067397	0.013756	0.000338	0.017032	0.009551	0.003681	0.006475	0.001668	0.003185	0.004094	0.001997	0.000822	0.010467	0.005403	0.000653	0.002078	0.003568	0.001393	0.000145	0.000722	0.000427	0.000802	0.000856	0.000234	0.000564	0.000420	0.000083	0.000346	0.000201	0.000746	0.000256	0.000168	0.000111	0.000023	0.000283	0.000625	0.000074	0.000153	0.000215	0.000133	0.000054	0.000238	0.000228	0.000142	0.000125	0.000044	0.000109	0.000114	0.000355	0.000121	0.000089	0.000173	0.000272	0.000138	0.000121	0.000031	0.000111	0.000031	0.000100	0.000035	0.000064	0.000019	0.000015	0.000058	0.000021	0.000013	0.000010	0.000015	0.000002	0.000014	0.000014	0.000015	0.000004	0.000009	0.000004	0.000003	0.000017	0.000054	0.000002	0.000002	0.000027	0.000003	0	0	0.000001	0	0	0.000003	0	0.000003	0	0	0	0	0	0
NielsenHB_2014_MH0009	0.161997	0.182812	0.195303	0.118938	0.040010	0.077496	0.050538	0.004046	0.057697	0.016836	0.014162	0.011250	0.009392	0.002650	0.006695	0.002303	0.002605	0.013066	0.005853	0.001909	0.002351	0.002244	0.005911	0.000471	0.000464	0.000955	0.001026	0.001215	0.000280	0.000604	0.000543	0.000278	0.000483	0.001261	0.000315	0.000750	0.000199	0.000184	0.000099	0.000093	0.000038	0.000085	0.000046	0.000183	0.000146	0.000144	0.000330	0.000335	0.000424	0.000292	0.000112	0.000174	0.000232	0.000068	0.000080	0.000162	0.000971	0.000099	0.000057	0.000106	0.000074	0.000031	0.000025	0.000019	0.000031	0.000021	0.000062	0.000075	0.000030	0.000007	0.000006	0.000034	0.000008	0.000004	0.000005	0.000002	0.000005	0.000005	0.000007	0.000014	0.000006	0.000018	0.000040	0.000008	0.000017	0.000003	0.000000	0.000001	0.000004	0.000002	0.000009	0.000023	0.000026	0.000009	0	0	0	0	0	0	0
NielsenHB_2014_MH0011	0.149407	0.376382	0.150662	0.075520	0.036435	0.092610	0.027528	0.000567	0.026918	0.011702	0.004835	0.007205	0.006092	0.001839	0.006056	0.001361	0.001476	0.001942	0.004083	0.000403	0.001939	0.000558	0.001758	0.000137	0.000133	0.001045	0.000836	0.000863	0.000193	0.000321	0.000347	0.000083	0.000326	0.000722	0.000322	0.000455	0.000383	0.000126	0.000122	0.000257	0.000632	0.000084	0.000551	0.000333	0.000269	0.000133	0.000449	0.000217	0.000271	0.000204	0.000062	0.000117	0.000271	0.000466	0.000163	0.000063	0.000118	0.000312	0.000291	0.000170	0.000093	0.000109	0.000099	0.000077	0.000040	0.000040	0.000020	0.000015	0.000103	0.000026	0.000012	0.000021	0.000068	0.000003	0.000025	0.000013	0.000032	0.000001	0.000014	0.000009	0	0.000024	0.000006	0.000004	0.000001	0.000003	0.000003	0.000001	0.000002	0.000010	0	0.000001	0	0.000001	0.000001	0	0	0	0	0	0
NielsenHB_2014_MH0012	0.171459	0.318320	0.140555	0.085823	0.041742	0.082766	0.028172	0.001930	0.040665	0.017943	0.006826	0.009953	0.003734	0.003909	0.005934	0.002219	0.001330	0.001959	0.006276	0.003017	0.002929	0.004877	0.006026	0.000493	0.000357	0.000647	0.000923	0.001390	0.000123	0.000587	0.000950	0.000057	0.000371	0.000344	0.000228	0.000564	0.000158	0.000119	0.000072	0.000161	0.000043	0.000090	0.000100	0.000323	0.000056	0.000042	0.000364	0.000138	0.000273	0.000325	0.000104	0.000258	0.000178	0.000048	0.000061	0.000128	0.000965	0.000082	0.000081	0.000010	0.000100	0.000026	0.000030	0.000004	0.000033	0.000004	0.000018	0.000016	0.000006	0.000014	0.000011	0.000055	0.000008	0.000001	0.000003	0.000000	0.000010	0.000004	0.000009	0.000002	0.000006	0.000009	0.000005	0.000005	0.000001	0.000003	0.000003	0.000018	0.000003	0.000000	0	0.000000	0.000003	0.000007	0	0	0	0	0	0	0
NielsenHB_2014_MH0014	0.172715	0.270306	0.146509	0.076421	0.052853	0.056037	0.036711	0.101835	0.031567	0.011347	0.004862	0.007430	0.002309	0.001094	0.003713	0.001104	0.001368	0.000691	0.001438	0.000900	0.001180	0.003040	0.000270	0.003600	0.000090	0.000793	0.000464	0.000759	0.000105	0.000563	0.000336	0.001627	0.000358	0.000166	0.000123	0.000369	0.000115	0.000139	0.000065	0.000169	0.000354	0.000477	0.000116	0.000225	0.000168	0.001037	0.000129	0.000177	0.000211	0.000108	0.000069	0.000090	0.000149	0.000026	0.000046	0.000040	0.000025	0.000312	0.000016	0.000038	0.000115	0.000080	0.000051	0.000032	0.000060	0.000044	0.000046	0.000022	0.000089	0.000009	0.000006	0.000005	0.000007	0.000004	0.000000	0.000018	0.000001	0.000002	0.000003	0.000001	0.000002	0.000015	0.000002	0.000006	0.000001	0.000002	0.000005	0.000001	0.000002	0.000013	0	0	0	0.000001	0	0	0	0	0	0	0
NielsenHB_2014_MH0016	0.106375	0.510768	0.087281	0.040212	0.036509	0.138746	0.016907	0.000433	0.017966	0.003369	0.001785	0.002793	0.014032	0.000681	0.001715	0.000891	0.000727	0.001084	0.004152	0.000949	0.000603	0.001763	0.000934	0.000291	0.001548	0.001126	0.000276	0.000195	0.000331	0.000206	0.000183	0.000080	0.000232	0.000411	0.000268	0.000104	0.000155	0.000043	0.000047	0.000179	0.000746	0.000023	0.000012	0.000153	0.000142	0.000053	0.000073	0.000320	0.000108	0.000037	0.000024	0.000018	0.000045	0.000048	0.000144	0.000067	0.000335	0.000296	0.000038	0.000049	0.000037	0.000315	0.000080	0.000138	0.000048	0.000014	0.000012	0.000010	0.000075	0.000023	0.000004	0.000022	0.000003	0.000003	0.000053	0.000024	0.000000	0.000001	0.000004	0.000006	0.000004	0.000010	0.000002	0.000002	0	0.000023	0.000000	0.000001	0.000000	0.000000	0	0	0.000002	0.000001	0	0	0	0	0	0	0
NielsenHB_2014_MH0021	0.180002	0.314544	0.101169	0.064322	0.152805	0.091437	0.010230	0.000470	0.017590	0.010850	0.004999	0.006630	0.004422	0.001627	0.007444	0.001749	0.000948	0.000901	0.004264	0.000986	0.001572	0.001531	0.001038	0.000240	0.000453	0.000657	0.000473	0.000964	0.000076	0.000301	0.000337	0.000087	0.000349	0.001109	0.000689	0.000567	0.000322	0.000097	0.000036	0.000676	0.000933	0.000018	0.001724	0.000547	0.000275	0.000080	0.000548	0.000194	0.000131	0.000160	0.000077	0.000228	0.000336	0.001030	0.000768	0.000105	0.000039	0.000294	0.000591	0.000389	0.000137	0.000485	0.000147	0.000188	0.000092	0.000118	0.000037	0.000128	0.000129	0.000034	0.000019	0.000017	0.000276	0.000001	0.000023	0.000014	0.000532	0.000001	0.000032	0.000020	0.000014	0.000023	0.000082	0.000004	0.000005	0.000002	0.000003	0.000004	0.000001	0.000001	0	0.000000	0	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0025	0.139340	0.398656	0.109062	0.068284	0.043000	0.090025	0.030641	0.030659	0.020024	0.007680	0.004320	0.006329	0.010297	0.001204	0.004295	0.002651	0.001099	0.003438	0.003295	0.000411	0.001490	0.000249	0.000627	0.001771	0.000349	0.001433	0.000587	0.000401	0.000337	0.000316	0.000394	0.000849	0.000357	0.000743	0.008787	0.000364	0.000217	0.000139	0.000072	0.000236	0.000637	0.001452	0.000081	0.000214	0.000344	0.000446	0.000148	0.000406	0.000080	0.000082	0.000059	0.000093	0.000130	0.000155	0.000068	0.000051	0.000046	0.000200	0.000039	0.000138	0.000040	0.000125	0.000053	0.000074	0.000018	0.000080	0.000018	0.000016	0.000075	0.000038	0.000007	0.000009	0.000014	0.000004	0.000008	0.000009	0.000007	0.000002	0.000005	0.000013	0.000001	0.000014	0.000036	0.000022	0.000004	0.000006	0.000003	0	0.000000	0	0	0	0.000001	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0026	0.208883	0.379275	0.124774	0.080053	0.065801	0.052424	0.017808	0.000649	0.005880	0.011700	0.002955	0.006408	0.010213	0.001382	0.003659	0.001498	0.001112	0.002747	0.006504	0.001007	0.001720	0.005134	0.000499	0.000348	0.000977	0.000186	0.000772	0.000850	0.000108	0.000411	0.000339	0.000035	0.000217	0.000053	0.000292	0.000345	0.000113	0.000160	0.000039	0.000281	0.000016	0.000021	0.000028	0.000160	0.000026	0.000068	0.000113	0.000160	0.000142	0.000165	0.000059	0.000201	0.000095	0.000021	0.000108	0.000031	0.000110	0.000046	0.000228	0.000195	0.000102	0.000027	0.000003	0.000006	0.000048	0.000006	0.000007	0.000029	0.000005	0.000006	0.000003	0.000009	0.000015	0.000001	0.000002	0.000001	0	0.000005	0	0.000002	0.000114	0.000001	0	0.000003	0.000001	0	0	0	0	0	0	0	0.000002	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0049	0.135286	0.596245	0.067362	0.037032	0.051005	0.065606	0.006890	0.000599	0.005917	0.002775	0.001375	0.002840	0.003877	0.000950	0.001113	0.000955	0.000430	0.003266	0.010081	0.001125	0.000708	0.001083	0.000688	0.000046	0.000078	0.000307	0.000111	0.000142	0.000024	0.000065	0.000239	0.000017	0.000157	0.000039	0.000163	0.000032	0.000027	0.000053	0.000016	0.000021	0.000017	0.000189	0.000005	0.000147	0.000021	0.000031	0.000037	0.000050	0.000047	0.000026	0.000032	0.000013	0.000308	0.000077	0.000021	0.000026	0.000004	0.000036	0.000001	0.000002	0.000023	0.000013	0.000022	0.000003	0.000016	0	0.000002	0.000049	0.000001	0.000001	0.000001	0.000001	0.000007	0.000001	0.000010	0	0.000003	0.000001	0	0.000002	0.000006	0	0	0.000003	0	0	0.000001	0	0	0.000001	0	0	0	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0052	0.225711	0.283662	0.123521	0.097876	0.089159	0.061000	0.020692	0.001303	0.016471	0.013359	0.004453	0.007827	0.006250	0.002258	0.004573	0.001799	0.002043	0.021624	0.003694	0.001045	0.001966	0.000590	0.000534	0.000095	0.000152	0.000634	0.000861	0.000900	0.000146	0.000424	0.000464	0.000102	0.000262	0.000226	0.000187	0.000403	0.000119	0.000140	0.000053	0.000150	0.000260	0.000028	0.000057	0.000280	0.000203	0.000057	0.000187	0.000215	0.000214	0.000281	0.000072	0.000051	0.000108	0.000108	0.000039	0.000107	0.000051	0.000229	0.000020	0.000078	0.000110	0.000081	0.000043	0.000040	0.000066	0.000037	0.000023	0.000020	0.000061	0.000018	0.000008	0.000004	0.000002	0.000001	0.000005	0.000018	0.000011	0.000004	0.000004	0.000010	0.000005	0.000008	0.000006	0.000005	0.000000	0.000001	0.000005	0	0.000000	0.000014	0.000002	0	0.000007	0.000001	0.000000	0	0	0	0	0	0
NielsenHB_2014_MH0053	0.245485	0.165378	0.190642	0.106643	0.058226	0.060434	0.044316	0.000839	0.008786	0.027437	0.007022	0.012934	0.007628	0.005158	0.011999	0.003625	0.001578	0.007885	0.005846	0.000690	0.003610	0.000734	0.001329	0.000633	0.000220	0.000937	0.001969	0.001873	0.000187	0.000742	0.000979	0.000518	0.000530	0.001189	0.000331	0.000879	0.000536	0.000181	0.000166	0.000136	0.000066	0.000162	0.001190	0.000661	0.000060	0.000277	0.000745	0.000480	0.000374	0.000532	0.000107	0.000241	0.000506	0.000723	0.000391	0.000174	0.000192	0.000381	0.000718	0.000232	0.000124	0.000204	0.000160	0.000015	0.000015	0.000165	0.000053	0.000018	0.000142	0.000066	0.000187	0.000020	0.000179	0.000008	0.000007	0.000003	0.000059	0.000031	0.000010	0.000017	0.000001	0.000004	0.000002	0.000029	0.000002	0.000006	0.000006	0	0	0	0.000004	0.000018	0	0.000004	0	0	0	0.000001	0	0	0
NielsenHB_2014_MH0054	0.176372	0.344489	0.150715	0.083663	0.052570	0.034587	0.037609	0.004710	0.034172	0.020750	0.006361	0.013050	0.007608	0.004282	0.006114	0.002564	0.002464	0.000629	0.002094	0.000713	0.003103	0.000836	0.000515	0.000220	0.000251	0.000342	0.000953	0.001597	0.000190	0.001012	0.000817	0.000118	0.000281	0.000079	0.000322	0.000580	0.000083	0.000331	0.000060	0.000134	0.000019	0.000028	0.000055	0.000080	0.000018	0.000080	0.000325	0.000044	0.000276	0.000317	0.000070	0.000101	0.000246	0.000171	0.000039	0.000037	0.000150	0.000064	0.000063	0.000020	0.000082	0.000015	0.000017	0.000011	0.000023	0.000001	0.000059	0.000066	0.000015	0.000000	0.000004	0.000006	0.000007	0.000001	0.000027	0	0.000001	0.000007	0.000004	0.000002	0.000013	0.000004	0.000013	0.000008	0.000006	0.000004	0.000001	0.000050	0.000005	0.000002	0.000003	0.000004	0	0	0	0	0.000001	0	0	0	0
NielsenHB_2014_MH0060	0.198778	0.217031	0.182166	0.098516	0.069304	0.060111	0.035050	0.000592	0.031637	0.027623	0.006777	0.012722	0.004177	0.007845	0.007344	0.004334	0.001941	0.001403	0.004097	0.000311	0.007278	0.000546	0.004254	0.000124	0.000067	0.000622	0.002160	0.001616	0.000188	0.002101	0.001063	0.000052	0.000376	0.000743	0.000283	0.000658	0.000136	0.000367	0.000046	0.000108	0.000038	0.000021	0.000117	0.000545	0.000076	0.000032	0.000329	0.000216	0.000666	0.001175	0.000109	0.000109	0.000320	0.000078	0.000067	0.000091	0.000587	0.000061	0.000030	0.000060	0.000050	0.000192	0.000012	0.000018	0.000029	0.000023	0.000034	0.000016	0.000017	0.000009	0.000002	0.000038	0.000013	0.000005	0.000005	0.000002	0.000190	0.000005	0.000025	0.000005	0.000000	0	0.000006	0.000007	0.000001	0.000002	0.000006	0.000005	0.000004	0	0	0	0	0.000001	0	0	0	0	0	0	0
NielsenHB_2014_MH0069	0.219966	0.286137	0.199532	0.068532	0.058519	0.059791	0.038336	0.000651	0.028538	0.007948	0.003509	0.006200	0.003896	0.001301	0.003797	0.001615	0.001256	0.001435	0.001364	0.000336	0.001185	0.000279	0.000271	0.000062	0.000097	0.000367	0.000315	0.000674	0.000074	0.000463	0.000292	0.000042	0.000315	0.000153	0.000166	0.000350	0.000128	0.000103	0.000081	0.000060	0.000044	0.000023	0.000163	0.000052	0.000118	0.000018	0.000183	0.000069	0.000114	0.000114	0.000095	0.000038	0.000154	0.000082	0.000026	0.000036	0.000056	0.000083	0.000052	0.000020	0.000029	0.000048	0.000010	0.000015	0.000009	0.000004	0.000059	0.000011	0.000010	0.000002	0.000004	0.000029	0.000011	0.000004	0.000001	0.000002	0.000005	0.000002	0.000001	0.000008	0	0.000003	0.000003	0.000005	0.000006	0.000001	0.000029	0.000003	0	0.000006	0	0	0.000001	0.000004	0	0	0	0	0	0	0
NielsenHB_2014_MH0077	0.251534	0.200028	0.153845	0.101916	0.103173	0.061427	0.020581	0.000376	0.014689	0.033483	0.005601	0.008886	0.004583	0.003416	0.006224	0.002514	0.001826	0.001113	0.003602	0.000874	0.003583	0.001511	0.000676	0.000059	0.000144	0.000322	0.001977	0.002532	0.000060	0.001084	0.001442	0.000065	0.000242	0.000386	0.000229	0.000444	0.000127	0.000168	0.000061	0.000131	0.000325	0.000051	0.000494	0.000156	0.000092	0.000052	0.000368	0.000090	0.000349	0.000800	0.000059	0.000071	0.000411	0.000379	0.000186	0.000051	0.000056	0.000118	0.000188	0.000098	0.000036	0.000088	0.000045	0.000073	0.000036	0.000035	0.000021	0.000020	0.000038	0.000011	0.000013	0.000014	0.000060	0.000001	0.000009	0.000001	0.000023	0.000013	0.000014	0.000005	0.000057	0.000009	0.000031	0.000004	0.000008	0	0	0.000000	0.000003	0.000000	0.000001	0.000000	0	0	0.000001	0.000000	0.000001	0	0	0	0
NielsenHB_2014_MH0078	0.231984	0.324464	0.102780	0.073720	0.091688	0.081063	0.012853	0.000749	0.005751	0.014875	0.004645	0.005983	0.002446	0.003871	0.002518	0.002586	0.001664	0.012977	0.007645	0.001873	0.002050	0.001466	0.000384	0.000065	0.000065	0.000096	0.000674	0.001202	0.000031	0.001038	0.001041	0.000053	0.000264	0.000142	0.000753	0.000270	0.000045	0.000171	0.000042	0.000711	0.000014	0.000054	0.000025	0.000066	0.000173	0.000034	0.000178	0.000443	0.000155	0.000141	0.000047	0.000020	0.000136	0.000039	0.000025	0.000045	0.000034	0.000029	0.000004	0.000009	0.000021	0.000030	0.001005	0.000004	0.000022	0.000011	0.000007	0.000418	0.000001	0.000001	0.000005	0.000045	0.000001	0.000001	0.000004	0	0.000025	0.000001	0	0.000003	0.000001	0.000003	0.000002	0.000001	0	0	0.000003	0.000001	0.000001	0	0	0.000004	0	0	0.000006	0	0	0	0	0	0
NielsenHB_2014_MH0079	0.129743	0.311219	0.127955	0.114691	0.058150	0.077082	0.018097	0.010442	0.008391	0.049116	0.010429	0.015370	0.001234	0.005015	0.009227	0.003808	0.001733	0.004781	0.003771	0.002697	0.005376	0.003674	0.000370	0.000603	0.004750	0.000789	0.003668	0.003329	0.000330	0.001376	0.001931	0.000246	0.000308	0.000414	0.000927	0.000999	0.000184	0.000253	0.000090	0.000217	0.000530	0.000051	0.000175	0.000237	0.000227	0.000134	0.000393	0.000104	0.000646	0.000981	0.000066	0.000136	0.001042	0.000154	0.000298	0.000167	0.000318	0.000316	0.000063	0.000110	0.000162	0.000162	0.000099	0.000078	0.000013	0.000107	0.000080	0.000044	0.000077	0.000027	0.000008	0.000006	0.000017	0.000004	0.000027	0.000021	0.000001	0.000008	0.000026	0.000001	0.000003	0.000019	0.000001	0.000008	0.000041	0.000007	0.000002	0.000008	0.000000	0.000008	0	0.000000	0	0.000001	0	0.000001	0	0	0	0	0
NielsenHB_2014_MH0086	0.312501	0.229842	0.162853	0.109811	0.091166	0.035870	0.008106	0.002959	0.004152	0.006232	0.004328	0.007338	0.002227	0.001919	0.005017	0.001721	0.002857	0.000458	0.001113	0.000366	0.001278	0.000638	0.000103	0.000097	0.000044	0.000186	0.000285	0.000656	0.000079	0.000461	0.000421	0.000098	0.000196	0.000322	0.000202	0.000307	0.000171	0.000182	0.000030	0.000184	0.000079	0.000036	0.000407	0.000122	0.000188	0.000128	0.000251	0.000077	0.000087	0.000127	0.000042	0.000077	0.000139	0.000366	0.000146	0.000041	0.000011	0.000099	0.000236	0.000093	0.000045	0.000041	0.000016	0.000010	0.000014	0.000042	0.000027	0.000025	0.000017	0.000005	0.000030	0.000014	0.000048	0.000002	0.000015	0.000006	0.000037	0.000016	0.000030	0.000007	0.000001	0.000000	0.000006	0.000007	0	0.000002	0.000000	0	0	0.000007	0	0	0.000002	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0087	0.088840	0.771658	0.026900	0.017277	0.009642	0.052449	0.005630	0.003976	0.006807	0.001448	0.001060	0.001502	0.001779	0.000461	0.000633	0.000316	0.000265	0.001166	0.001268	0.000049	0.000596	0.000364	0.000130	0.000369	0.000074	0.000210	0.000041	0.000042	0.000258	0.000025	0.000127	0.000273	0.000079	0.000172	0.000650	0.000065	0.000019	0.000005	0.000026	0.000729	0.000015	0.000013	0.000173	0.000047	0.000211	0.000081	0.000027	0.000389	0.000012	0.000005	0.000394	0.000015	0.000030	0.000010	0.000140	0.000193	0.000001	0.000004	0.000002	0.000073	0.000014	0.000006	0.000091	0.000004	0.000001	0.000001	0.000000	0.000013	0.000000	0	0.000037	0	0.000013	0.000150	0.000265	0	0	0.000080	0	0.000001	0.000100	0.000000	0	0.000002	0	0	0	0	0.000001	0	0	0	0.000003	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0088	0.309075	0.375343	0.118283	0.062544	0.054694	0.037627	0.006396	0.000940	0.004731	0.003930	0.003710	0.004796	0.001197	0.002026	0.002397	0.001945	0.000648	0.000619	0.001828	0.001593	0.001046	0.000938	0.000305	0.000111	0.000332	0.000255	0.000149	0.000153	0.000012	0.000201	0.000380	0.000032	0.000087	0.000041	0.000091	0.000113	0.000069	0.000111	0.000036	0.000058	0.000014	0.000014	0.000024	0.000064	0.000034	0.000030	0.000053	0.000242	0.000121	0.000023	0.000023	0.000060	0.000034	0.000057	0.000034	0.000027	0.000002	0.000025	0.000015	0.000012	0.000015	0.000016	0.000023	0.000036	0.000002	0.000056	0.000004	0.000026	0.000003	0.000007	0.000001	0.000002	0.000003	0.000001	0.000014	0.000001	0.000003	0.000002	0.000002	0.000000	0.000013	0.000001	0.000001	0.000003	0.000000	0	0.000001	0	0	0.000000	0	0	0.000019	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0089	0.186122	0.311409	0.212623	0.073913	0.079421	0.059372	0.021144	0.002027	0.022264	0.003493	0.003328	0.004318	0.003193	0.001647	0.002551	0.001158	0.000719	0.000975	0.002120	0.000277	0.001632	0.000347	0.000201	0.000170	0.000043	0.000311	0.000171	0.000314	0.000189	0.000120	0.000228	0.000147	0.000274	0.000241	0.000299	0.000073	0.000111	0.000160	0.000046	0.000378	0.000047	0.000011	0.000204	0.000119	0.000155	0.000027	0.000138	0.000209	0.000069	0.000118	0.000239	0.000029	0.000052	0.000093	0.000122	0.000113	0.000002	0.000044	0.000043	0.000114	0.000031	0.000079	0.000050	0.000008	0.000005	0.000004	0.000014	0.000006	0.000010	0.000005	0.000024	0.000007	0.000014	0.000074	0.000007	0.000020	0.000050	0.000031	0.000008	0.000002	0.000062	0.000001	0.000001	0.000005	0.000000	0.000001	0.000001	0	0	0.000002	0	0	0.000001	0	0.000000	0	0	0	0	0.000001	0
NielsenHB_2014_MH0090	0.150268	0.303249	0.157582	0.104640	0.068122	0.066571	0.032883	0.003814	0.030316	0.020733	0.008659	0.008605	0.007071	0.002165	0.004447	0.001725	0.001147	0.001190	0.002983	0.005946	0.002704	0.000434	0.000501	0.000441	0.000091	0.000547	0.001602	0.001703	0.000314	0.000570	0.000778	0.000409	0.000251	0.000348	0.000574	0.000656	0.000123	0.000140	0.000073	0.000778	0.000388	0.000036	0.000246	0.000264	0.000283	0.000052	0.000143	0.000423	0.000296	0.000380	0.000420	0.000121	0.000262	0.000035	0.000157	0.000212	0.000060	0.000119	0.000049	0.000085	0.000044	0.000067	0.000114	0.000027	0.000009	0.000030	0.000062	0.000014	0.000061	0.000015	0.000041	0.000005	0.000013	0.000124	0.000020	0.000011	0.000010	0.000071	0.000007	0.000015	0.000001	0.000020	0.000003	0.000003	0.000005	0.000003	0.000009	0.000002	0.000000	0.000006	0	0.000005	0	0	0	0.000001	0	0	0	0	0
NielsenHB_2014_MH0091	0.190438	0.328436	0.103694	0.085195	0.136022	0.085476	0.018131	0.004317	0.009988	0.004317	0.002880	0.005229	0.006020	0.001202	0.002697	0.001060	0.000927	0.002861	0.004280	0.000422	0.001017	0.000431	0.000397	0.000253	0.000291	0.000197	0.000137	0.000274	0.000064	0.000148	0.000267	0.000148	0.000231	0.000078	0.000220	0.000128	0.000138	0.000036	0.000039	0.000036	0.000016	0.000073	0.000268	0.000117	0.000138	0.000069	0.000128	0.000031	0.000172	0.000025	0.000066	0.000043	0.000055	0.000087	0.000029	0.000037	0.000022	0.000039	0.000041	0.000019	0.000026	0.000032	0.000111	0.000006	0.000066	0.000001	0.000022	0.000064	0.000002	0.000008	0.000000	0.000011	0.000017	0.000001	0.000008	0	0.000000	0.000002	0.000001	0.000007	0.000009	0.000000	0.000003	0.000004	0	0	0.000001	0.000001	0.000000	0.000003	0	0	0	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0092	0.164896	0.447169	0.108526	0.051035	0.077133	0.097499	0.008118	0.000430	0.008179	0.005428	0.002537	0.004231	0.001536	0.001301	0.002385	0.001574	0.001018	0.001236	0.005029	0.001027	0.001063	0.004321	0.000353	0.000491	0.000315	0.000175	0.000126	0.000181	0.000045	0.000196	0.000165	0.000045	0.000120	0.000052	0.000200	0.000130	0.000076	0.000060	0.000047	0.000115	0.000029	0.000012	0.000028	0.000055	0.000139	0.000094	0.000074	0.000033	0.000111	0.000067	0.000048	0.000140	0.000080	0.000045	0.000022	0.000027	0.000015	0.000021	0.000024	0.000043	0.000025	0.000025	0.000010	0.000006	0.000003	0.000008	0.000002	0.000015	0.000010	0.000003	0.000007	0.000006	0.000005	0.000001	0.000003	0.000002	0.000011	0.000072	0.000003	0.000031	0.000048	0.000005	0.000000	0.000003	0	0.000001	0.000023	0	0	0	0	0.000001	0	0	0	0	0	0	0	0	0
