Sample	Lachnospiraceae	Bacteroidaceae	Ruminococcaceae	Clostridiaceae	Eubacteriaceae	Porphyromonadaceae	Oscillospiraceae	Enterobacteriaceae	Rikenellaceae	Bacillaceae	Peptostreptococcaceae	Paenibacillaceae	Sutterellaceae	Lactobacillaceae	Peptococcaceae	Enterococcaceae	Streptococcaceae	Prevotellaceae	Flavobacteriaceae	Siphoviridae	Peptoniphilaceae	Myoviridae	Marinilabiliaceae	Yersiniaceae	Podoviridae	Burkholderiaceae	Staphylococcaceae	Planococcaceae	Comamonadaceae	Listeriaceae	Carnobacteriaceae	Erwiniaceae	Rhodobacteraceae	Oxalobacteraceae	Moraxellaceae	Alicyclobacillaceae	Alteromonadaceae	Leuconostocaceae	Micrococcaceae	Bradyrhizobiaceae	Methylocystaceae	Pectobacteriaceae	Synechococcaceae	Rhizobiaceae	Pseudomonadaceae	Morganellaceae	Syntrophomonadaceae	Alcaligenaceae	Aerococcaceae	Sporolactobacillaceae	Mycobacteriaceae	Microbacteriaceae	Thermoactinomycetaceae	Cyanothecaceae	Shewanellaceae	Corynebacteriaceae	Cryomorphaceae	Phyllobacteriaceae	Stigonemataceae	Pseudoalteromonadaceae	Nocardiaceae	Hyphomonadaceae	Methylobacteriaceae	Hyphomicrobiaceae	Cellvibrionaceae	Bartonellaceae	Streptomycetaceae	Debaryomycetaceae	Rhodobiaceae	Xanthobacteraceae	Cellulomonadaceae	Intrasporangiaceae	Merismopediaceae	Dermatophilaceae	Idiomarinaceae	Aurantimonadaceae	Saccharomycetaceae	Dermabacteraceae	Psychromonadaceae	Gordoniaceae	Microviridae	Beijerinckiaceae	Colwelliaceae	Brevibacteriaceae	Promicromonosporaceae	Brucellaceae	Rhodomelaceae	Blattabacteriaceae	Dermacoccaceae	Nectriaceae	Drosophilidae	Arthrodermataceae	Tectiviridae	Hypocreaceae	Hominidae	Inoviridae	Clavicipitaceae	Sordariaceae	Sarcocystidae	Chaetomiaceae	Retroviridae
SchirmerM_2016_G88816	0.387938	0.113767	0.292622	0.047780	0.076968	0.024531	0.009752	0.000617	0.005350	0.003673	0.002161	0.003818	0.003974	0.014251	0.001550	0.001777	0.000981	0.001148	0.001845	0.000257	0.000975	0.000177	0.000334	0.000041	0.000055	0.000319	0.000302	0.000129	0.000029	0.000107	0.000253	0.000030	0.000658	0.000042	0.000065	0.000062	0.000044	0.000117	0.000196	0.000027	0.000046	0.000034	0.000068	0.000043	0.000038	0.000003	0.000028	0.000024	0.000054	0.000038	0.000111	0.000146	0.000040	0.000017	0.000005	0.000065	0.000015	0.000042	0.000155	0.000008	0.000172	0.000016	0.000001	0.000010	0	0.000012	0.000010	0.000040	0.000003	0.000006	0.000005	0.000002	0.000002	0.000002	0.000006	0	0.000004	0.000004	0	0.000001	0	0	0	0.000006	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SchirmerM_2016_G88819	0.298411	0.310171	0.145970	0.042166	0.074752	0.029521	0.005873	0.000634	0.004282	0.002810	0.007449	0.002390	0.006387	0.001923	0.001390	0.001239	0.001220	0.058628	0.000789	0.000121	0.000616	0.000045	0.000149	0.000014	0.000020	0.000210	0.000244	0.000159	0.000027	0.000257	0.000242	0.000132	0.000356	0.000080	0.000046	0.000054	0.000045	0.000159	0.000184	0.000022	0.000032	0.000010	0.000021	0.000010	0.000053	0.000028	0.000013	0.000012	0.000022	0.000021	0.000071	0.000163	0.000012	0.000059	0.000009	0.000067	0.000022	0.000022	0.000001	0.000001	0.000044	0.000007	0.000000	0.000005	0.000001	0.000003	0.000000	0.000024	0.000004	0	0.000040	0	0.000001	0.000001	0.000003	0	0.000001	0.000002	0	0.000025	0.000002	0.000001	0	0.000003	0.000002	0	0.000001	0.000001	0	0.000000	0	0	0	0	0.000001	0	0	0	0	0	0
SchirmerM_2016_G88820	0.334553	0.241766	0.181784	0.062976	0.072180	0.033204	0.018793	0.004660	0.011087	0.004624	0.010437	0.004543	0.004456	0.002306	0.002305	0.001442	0.000960	0.000596	0.001478	0.000267	0.000745	0.000191	0.000351	0.000113	0.000021	0.000434	0.000383	0.000167	0.000031	0.000299	0.000186	0.000115	0.000304	0.000194	0.000190	0.000125	0.000121	0.000117	0.000153	0.000063	0.000018	0.000105	0.000062	0.000045	0.000098	0.000040	0.000055	0.000043	0.000129	0.000048	0.000087	0.000123	0.000063	0.000018	0.000029	0.000062	0.000032	0.000028	0.000006	0.000009	0.000039	0.000007	0.000010	0.000003	0.000022	0.000004	0.000023	0.000019	0.000007	0.000002	0.000003	0.000012	0.000003	0.000002	0.000005	0.000001	0	0.000001	0.000004	0	0.000001	0.000001	0	0.000002	0.000003	0.000003	0.000001	0	0	0.000002	0	0	0	0	0.000000	0	0	0	0	0	0
SchirmerM_2016_G88821	0.291980	0.178177	0.199358	0.100251	0.093972	0.041770	0.023767	0.000548	0.005276	0.004245	0.002739	0.004093	0.003189	0.012435	0.002482	0.002058	0.003698	0.019579	0.002962	0.000315	0.001223	0.000120	0.000173	0.000061	0.000020	0.000334	0.000358	0.000332	0.000069	0.000237	0.000348	0.000116	0.000401	0.000125	0.000122	0.000087	0.000148	0.000144	0.000358	0.000057	0.000023	0.000286	0.000201	0.000055	0.000035	0.000017	0.000072	0.000083	0.000156	0.000097	0.000162	0.000101	0.000063	0.000307	0.000057	0.000090	0.000023	0.000018	0.000112	0.000028	0.000037	0.000040	0.000057	0.000009	0.000040	0.000002	0.000004	0.000020	0.000003	0.000007	0.000007	0.000006	0.000003	0.000003	0.000001	0.000001	0.000004	0.000010	0.000001	0.000007	0.000001	0.000001	0.000001	0.000013	0.000009	0.000001	0	0	0.000001	0	0	0	0	0	0.000001	0	0	0	0	0	0
SchirmerM_2016_G88823	0.311910	0.201381	0.201524	0.055057	0.126483	0.044106	0.014044	0.000635	0.004686	0.003667	0.002939	0.005683	0.007715	0.002859	0.003261	0.002532	0.002631	0.001665	0.001972	0.000405	0.000792	0.000219	0.000228	0.000038	0.000035	0.000325	0.000227	0.000125	0.000055	0.000374	0.000319	0.000040	0.000330	0.000078	0.000071	0.000065	0.000031	0.000062	0.000067	0.000058	0.000160	0.000008	0.000055	0.000052	0.000087	0.000017	0.000046	0.000032	0.000117	0.000015	0.000061	0.000092	0.000031	0.000019	0.000019	0.000041	0.000030	0.000050	0.000017	0.000011	0.000088	0.000051	0.000037	0.000026	0.000006	0.000000	0.000002	0.000027	0.000035	0.000010	0.000006	0.000001	0.000010	0.000001	0.000009	0	0	0.000007	0	0.000002	0.000010	0.000003	0.000008	0.000002	0	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SchirmerM_2016_G88825	0.302381	0.125216	0.256768	0.104043	0.094693	0.029502	0.028105	0.000742	0.014018	0.004773	0.014604	0.006524	0.001805	0.001941	0.002944	0.002651	0.001776	0.000268	0.000879	0.000458	0.000838	0.000382	0.000113	0.000057	0.000050	0.000296	0.000319	0.000248	0.000053	0.000521	0.000257	0.000031	0.000346	0.000141	0.000087	0.000249	0.000084	0.000291	0.000148	0.000119	0.000025	0.000022	0.000083	0.000056	0.000049	0.000016	0.000088	0.000022	0.000210	0.000044	0.000101	0.000081	0.000080	0.000025	0.000012	0.000045	0.000019	0.000021	0.000014	0.000009	0.000037	0.000014	0.000014	0.000009	0.000014	0.000026	0.000024	0.000022	0.000006	0.000006	0.000013	0.000009	0.000002	0	0.000001	0	0	0.000001	0.000008	0.000006	0.000001	0.000001	0.000018	0.000003	0.000009	0	0	0.000012	0	0	0	0	0	0	0.000000	0	0	0	0	0	0
SchirmerM_2016_G88826	0.213569	0.294831	0.167554	0.088420	0.054706	0.046917	0.063448	0.000750	0.032084	0.005219	0.004119	0.006473	0.004239	0.001431	0.003630	0.001177	0.001034	0.000774	0.002490	0.000189	0.000848	0.000222	0.000304	0.000070	0.000055	0.000371	0.000272	0.000279	0.000056	0.000347	0.000195	0.000073	0.000389	0.000500	0.000152	0.000245	0.000111	0.000156	0.000161	0.000040	0.000034	0.000116	0.000111	0.000077	0.000082	0.000023	0.000130	0.000096	0.000158	0.000066	0.000122	0.000117	0.000147	0.000050	0.000071	0.000071	0.000055	0.000063	0.000040	0.000025	0.000057	0.000029	0.000009	0.000004	0.000077	0.000003	0.000035	0.000015	0.000009	0.000007	0.000017	0.000017	0.000030	0.000013	0.000037	0.000001	0.000000	0.000001	0.000001	0.000005	0.000014	0.000002	0.000003	0.000008	0.000011	0.000001	0.000013	0	0.000003	0.000006	0.000005	0.000010	0	0	0.000000	0	0	0	0	0	0
SchirmerM_2016_G88828	0.207523	0.238682	0.203620	0.078905	0.061856	0.042455	0.096421	0.000578	0.019818	0.009183	0.004215	0.008405	0.004474	0.001788	0.005985	0.001604	0.001044	0.000596	0.001431	0.000505	0.001377	0.000260	0.000248	0.000110	0.000055	0.000787	0.000535	0.000596	0.000792	0.000371	0.000416	0.000088	0.000366	0.000686	0.000182	0.000338	0.000192	0.000082	0.000099	0.000171	0.000149	0.000057	0.000173	0.000197	0.000085	0.000040	0.000298	0.000315	0.000181	0.000141	0.000114	0.000123	0.000270	0.000116	0.000079	0.000094	0.000023	0.000120	0.000056	0.000038	0.000070	0.000046	0.000029	0.000040	0.000007	0.000006	0.000022	0.000016	0.000027	0.000022	0.000033	0.000025	0.000027	0.000009	0.000005	0.000001	0.000005	0.000008	0.000007	0.000004	0.000005	0.000008	0.000018	0.000006	0.000011	0.000004	0.000018	0.000000	0.000006	0.000002	0	0	0	0	0	0	0	0	0	0	0
SchirmerM_2016_G88830	0.351586	0.070772	0.312725	0.080772	0.101586	0.021004	0.020331	0.000745	0.005344	0.004899	0.004529	0.005406	0.001820	0.002378	0.003339	0.002366	0.002220	0.000785	0.000644	0.000306	0.001151	0.000178	0.000110	0.000023	0.000028	0.000231	0.000458	0.000201	0.000022	0.000676	0.000339	0.000012	0.000478	0.000192	0.000046	0.000310	0.000040	0.000223	0.000258	0.000052	0.000024	0.000008	0.000074	0.000155	0.000040	0.000012	0.000167	0.000012	0.000114	0.000071	0.000154	0.000096	0.000039	0.000032	0.000049	0.000105	0.000006	0.000026	0.000010	0.000005	0.000038	0.000007	0.000027	0.000007	0.000008	0.000008	0.000006	0.000024	0.000003	0.000009	0.000003	0.000047	0.000001	0.000002	0.000002	0.000001	0	0.000001	0.000002	0.000002	0.000004	0.000003	0	0.000008	0.000004	0	0	0.000001	0.000001	0	0	0	0	0.000000	0	0	0	0	0	0	0
SchirmerM_2016_G88831	0.278332	0.158678	0.282130	0.075043	0.075245	0.025314	0.030578	0.001109	0.034493	0.004717	0.006887	0.007142	0.002750	0.002406	0.003435	0.001466	0.002062	0.000307	0.000874	0.000422	0.000988	0.000235	0.000199	0.000055	0.000023	0.000625	0.000329	0.000272	0.000046	0.000248	0.000206	0.000044	0.000490	0.000113	0.000096	0.000265	0.000042	0.000152	0.000282	0.000043	0.000043	0.000014	0.000133	0.000223	0.000035	0.000007	0.000080	0.000105	0.000104	0.000058	0.000189	0.000153	0.000090	0.000022	0.000065	0.000143	0.000020	0.000020	0.000033	0.000005	0.000046	0.000016	0.000013	0.000008	0.000072	0.000001	0.000026	0.000026	0.000008	0.000019	0.000025	0.000010	0.000001	0.000003	0.000001	0.000000	0	0.000003	0.000003	0.000011	0.000001	0.000001	0.000001	0.000004	0.000008	0.000000	0	0	0.000002	0.000000	0	0	0	0	0	0	0.000001	0	0	0	0
SchirmerM_2016_G88834	0.137705	0.417455	0.178115	0.052551	0.045867	0.041261	0.036368	0.010969	0.044173	0.005874	0.003761	0.004046	0.002706	0.001473	0.003382	0.002263	0.001390	0.000607	0.001765	0.000185	0.000873	0.000881	0.000253	0.000282	0.000101	0.000724	0.000189	0.000213	0.000072	0.000207	0.000832	0.000148	0.000413	0.000420	0.000121	0.000233	0.000037	0.000100	0.000305	0.000124	0.000040	0.000042	0.000087	0.000049	0.000036	0.000100	0.000065	0.000115	0.000067	0.000053	0.000168	0.000192	0.000055	0.000046	0.000036	0.000109	0.000022	0.000017	0.000012	0.000018	0.000034	0.000019	0.000034	0.000005	0.000014	0.000002	0.000011	0.000006	0.000004	0.000003	0.000016	0.000018	0.000010	0.000011	0.000002	0.000001	0	0.000002	0	0.000004	0.000002	0.000004	0.000002	0.000011	0.000005	0.000001	0	0	0.000005	0	0	0	0	0	0	0	0	0	0	0	0
SchirmerM_2016_G88835	0.276868	0.168983	0.264600	0.079054	0.085388	0.046854	0.026090	0.001765	0.015862	0.004912	0.003942	0.006532	0.002201	0.002143	0.003089	0.001758	0.001308	0.000454	0.001094	0.000365	0.001172	0.000233	0.000189	0.000042	0.000070	0.000436	0.000356	0.000302	0.000061	0.000326	0.000324	0.000033	0.000481	0.000115	0.000142	0.000232	0.000054	0.000200	0.000235	0.000083	0.000025	0.000033	0.000129	0.000068	0.000047	0.000023	0.000120	0.000034	0.000130	0.000071	0.000161	0.000163	0.000131	0.000020	0.000009	0.000126	0.000020	0.000030	0.000011	0.000010	0.000058	0.000018	0.000023	0.000012	0.000011	0.000001	0.000045	0.000020	0.000003	0.000010	0.000003	0.000027	0.000011	0.000007	0.000003	0.000001	0.000001	0.000006	0.000001	0.000003	0.000012	0.000004	0.000001	0.000004	0.000002	0.000001	0.000002	0	0	0.000001	0	0	0	0	0.000001	0	0	0	0	0	0
SchirmerM_2016_G88836	0.280981	0.184945	0.275152	0.070787	0.083492	0.036627	0.017962	0.000763	0.018287	0.004405	0.004570	0.005562	0.002416	0.001774	0.002323	0.001159	0.002230	0.000470	0.001024	0.000213	0.000898	0.000130	0.000277	0.000020	0.000010	0.000288	0.000323	0.000166	0.000040	0.000227	0.000247	0.000025	0.000283	0.000147	0.000059	0.000143	0.000062	0.000256	0.000118	0.000023	0.000033	0.000012	0.000039	0.000071	0.000100	0.000024	0.000063	0.000062	0.000131	0.000066	0.000083	0.000079	0.000070	0.000019	0.000005	0.000024	0.000010	0.000022	0.000007	0.000006	0.000026	0.000007	0.000003	0.000021	0.000012	0.000004	0.000022	0.000037	0.000007	0.000002	0.000007	0.000005	0.000001	0.000001	0.000003	0	0.000001	0.000003	0.000002	0.000006	0.000011	0.000002	0	0.000003	0.000001	0	0	0	0	0.000004	0	0	0	0	0	0	0	0	0	0	0
SchirmerM_2016_G88837	0.194466	0.261183	0.279055	0.067040	0.070931	0.045452	0.021891	0.001455	0.017545	0.005801	0.003297	0.005105	0.006266	0.001374	0.004943	0.002482	0.002226	0.000331	0.001416	0.000256	0.001409	0.000446	0.000183	0.000081	0.000045	0.000543	0.000209	0.000217	0.000030	0.000226	0.000455	0.000054	0.000265	0.001162	0.000061	0.000460	0.000070	0.000079	0.000065	0.000054	0.000017	0.000011	0.000044	0.000075	0.000051	0.000045	0.000098	0.000059	0.000044	0.000142	0.000074	0.000044	0.000033	0.000074	0.000024	0.000091	0.000031	0.000028	0.000009	0.000083	0.000052	0.000006	0.000018	0.000004	0.000014	0.000021	0.000007	0.000022	0.000043	0.000008	0.000004	0.000006	0.000040	0.000001	0.000002	0.000003	0	0.000001	0.000007	0.000008	0.000004	0.000006	0.000000	0.000006	0.000004	0.000000	0	0.000001	0.000001	0.000002	0	0.000002	0	0	0	0	0	0	0	0	0
