,random_scm-pima,scm-pima,samba-pima,decision_tree-pima,adaboost-pima,random_forest-pima
Train,0.7569444444444444,0.7222222222222222,0.765625,0.7569444444444444,0.8020833333333334,0.8715277777777778
Test,0.6927083333333334,0.71875,0.7239583333333334,0.7291666666666666,0.7552083333333334,0.7552083333333334
