,decision_tree-pima,samba-pima,random_scm-pima,random_forest-pima,adaboost-pima,scm-pima
Train,0.6932935323383085,0.749592039800995,0.7510049751243781,0.8401592039800995,0.777592039800995,0.7151044776119403
Test,0.6604179104477612,0.6737313432835821,0.6912835820895522,0.6942686567164179,0.7185074626865671,0.7216716417910447
