,decision_tree-metabolomics_bleuets,random_forest-metabolomics_bleuets,scm-metabolomics_bleuets,adaboost-metabolomics_bleuets,samba-metabolomics_bleuets,random_scm-metabolomics_bleuets
Train,1.0,1.0,0.9722222222222222,1.0,1.0,1.0
Test,0.7777777777777777,0.8055555555555556,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.8888888888888888
