,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9178207226488733,0.905986403122246,1.0,0.9526941961475512,0.9840425531914894
Test,0.8950892857142857,0.8950892857142857,0.8950892857142857,0.90625,0.9285714285714286,0.9375
