,samba-cylinder_data,scm-cylinder_data,random_scm-cylinder_data,decision_tree-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.8193882141250561,0.7695681511470985,0.7786774628879892,1.0,0.9912280701754386,1.0
Test,0.6336032388663968,0.6558704453441295,0.6673414304993253,0.6939946018893387,0.7462887989203779,0.7574224021592443
