,samba-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_scm-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.8395061728395061,0.7901234567901234,1.0,0.8024691358024691,0.9925925925925926,1.0
Test,0.6666666666666666,0.6814814814814815,0.7037037037037037,0.7111111111111111,0.7777777777777778,0.7851851851851852
