,decision_tree-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data
Train,1.0,1.0,0.9450144781568677,0.9337781694573839,0.9278924839481304,0.9680851063829787
Test,0.7455357142857143,0.8258928571428572,0.8258928571428572,0.8258928571428572,0.84375,0.8571428571428572
