,decision_tree-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9505703422053232,0.9391634980988594,1.0,0.9467680608365019,0.9771863117870723
Test,0.7613636363636364,0.8295454545454547,0.8295454545454547,0.8636363636363636,0.8863636363636365,0.8863636363636365
