,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,decision_tree-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7567894891368174,0.7568457623801135,0.771919651595224,0.8249290467801917,0.8346863378351927,0.8350729105500099
Test,0.7448279146093097,0.7740399408067281,0.7742926843562732,0.7809775680942403,0.7990359115617354,0.8039167924279498
