,decision_tree-pima,samba-pima,adaboost-pima,random_scm-pima,scm-pima,random_forest-pima
Train,0.7512039800995025,0.7495124378109452,0.8584477611940299,0.7318009950248756,0.7283383084577115,0.9533532338308457
Test,0.6995820895522388,0.7035820895522388,0.707044776119403,0.717134328358209,0.7216716417910447,0.7425074626865671
