,random_scm-pima,scm-pima,decision_tree-pima,adaboost-pima,samba-pima,random_forest-pima
Train,0.7274305555555556,0.7274305555555556,0.78125,0.8697916666666666,0.7760416666666666,0.9618055555555556
Test,0.7083333333333334,0.71875,0.7395833333333334,0.7447916666666666,0.7447916666666666,0.7864583333333334
