,samba-cylinder_data,random_scm-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,0.7131129104813315,0.7787899235267657,0.785425101214575,1.0,1.0,0.9824561403508771
Test,0.6241565452091768,0.6531713900134952,0.6572199730094467,0.7267206477732794,0.7365047233468286,0.7375168690958165
