,random_scm-cylinder_data,samba-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,0.7753086419753087,0.7530864197530863,0.7975308641975308,1.0,1.0,0.9851851851851852
Test,0.6592592592592592,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.7555555555555555,0.7703703703703704
