,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9887668387259222,0.9379327709933275,0.9941489361702128,0.9173328717109405,0.9431763817197532,0.9744680851063829
Train STD,0.0327251805031296,0.03264214903244062,0.017553191489361717,0.012542545530131276,0.00650056049456681,0.01462524157964632
Test,0.8484374999999998,0.8783482142857142,0.8794642857142858,0.88125,0.8984375000000002,0.9100446428571429
Test STD,0.045158296728207724,0.033336737841658554,0.03669143170706598,0.028997245426883908,0.0370461750363169,0.033078670190261915
