,decision_tree-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9901140684410645,0.9201520912547527,0.9505703422053232,0.9958174904942965,0.9463878326996198,0.9817490494296578
Train STD,0.028412991166949682,0.01102005836212124,0.023623155234994763,0.01254752851711027,0.006463878326996192,0.010454545311686325
Test,0.865909090909091,0.8863636363636364,0.9022727272727273,0.9045454545454545,0.9056818181818184,0.9272727272727274
Test STD,0.04365766525522396,0.03006535580755215,0.029719765524140938,0.030151134457776337,0.03485877647767717,0.03057641828880388
