,decision_tree-Abalone_data,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7547892720306514,0.7563856960408685,0.7595785440613027,0.7787356321839081,0.8065134099616859,0.8732439335887612
Test,0.7435406698564593,0.7626794258373206,0.7684210526315789,0.7760765550239235,0.7827751196172249,0.8038277511961722
