,decision_tree-Abalone_data,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7551697983949892,0.756278136621648,0.759409864944216,0.7788143472303778,0.8064591896652965,0.8733582892934038
Test,0.7438517384360669,0.7625950535523289,0.7682817834170927,0.7760966872280259,0.7826771768911811,0.8038838258780091
