,samba-ionosphere_data,decision_tree-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,0.9763313609467456,0.8906269671408789,0.8947500944227622,0.9408598766209241,1.0,0.9893617021276595
Test,0.8839285714285714,0.8861607142857143,0.9330357142857143,0.9642857142857143,0.96875,0.96875
