,samba-ionosphere_data,decision_tree-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,0.9695817490494297,0.9049429657794676,0.9011406844106464,0.9391634980988594,1.0,0.9923954372623575
Test,0.8863636363636365,0.8977272727272727,0.9318181818181818,0.9545454545454546,0.9772727272727273,0.9772727272727273
