,hps,fit,pred
decision_tree-ionosphere_data,0.7276176049999776,0.007969246998982271,0.00017828400086727925
adaboost-ionosphere_data,14.464984873000503,0.34306492600080674,0.01909720500043477
samba-ionosphere_data,18.801200099998823,0.016997954997350462,0.017463412001234246
random_forest-ionosphere_data,22.977874149000854,0.5663698610005667,0.02707922399713425
random_scm-ionosphere_data,13.84920503900139,0.2591824209994229,0.017649621000600746
scm-ionosphere_data,1.0069563830002153,0.0028577729972312227,0.0001450909985578619
