,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.895946116077049,1.0,0.9946808510638299,0.9349427168576105,0.9509316379201813
Test,0.8370535714285714,0.8549107142857143,0.8638392857142857,0.8928571428571428,0.8995535714285714,0.9017857142857143
