,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,0.9049429657794676,0.9695817490494296,0.9011406844106464,1.0,0.9923954372623575,0.9467680608365019
Test,0.8977272727272727,0.9204545454545454,0.9318181818181818,0.9772727272727273,0.9772727272727273,0.9772727272727273
