,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,0.8906269671408789,0.9763313609467456,0.8947500944227622,1.0,0.9893617021276595,0.9467770363842376
Test,0.8861607142857143,0.9174107142857143,0.9330357142857143,0.96875,0.96875,0.9821428571428572
