,scm-ionosphere_data,decision_tree-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data
Train,0.9277566539923955,1.0,1.0,0.9505703422053232,0.9467680608365019,0.9619771863117871
Test,0.8522727272727273,0.8636363636363636,0.8863636363636364,0.9090909090909091,0.9204545454545454,0.9204545454545454
