,hps,fit,pred
decision_tree-ionosphere_data,1.730868073998863,0.010071061002236092,0.00017646699780016206
adaboost-ionosphere_data,26.7695295170015,0.09421003600073163,0.007229292001284193
samba-ionosphere_data,149.05447717199786,2.8984630399972957,0.03165870400334825
random_forest-ionosphere_data,39.79981831799887,0.3188715689975652,0.01607267199869966
random_scm-ionosphere_data,38.68507810899973,0.8462676579983963,0.03864720199999283
scm-ionosphere_data,2.0959161249993485,0.0021063540007162374,0.00013444499927572906
