,decision_tree-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.9272629988669268,1.0,0.9278924839481304,0.9468085106382979,0.9497356162658945
Test,0.8526785714285714,0.8571428571428572,0.8705357142857143,0.8973214285714286,0.8973214285714286,0.9084821428571428
