,random_scm-clinic,decision_tree-clinic,samba-clinic,scm-clinic,adaboost-clinic,random_forest-clinic,scm-methyl,scm-mirna,decision_tree-methyl,decision_tree-rna_iso,decision_tree-rna,samba-methyl,scm-rna_iso,decision_tree-mirna,random_scm-mirna,random_scm-methyl,scm-rna,random_forest-mirna,samba-mirna,random_forest-methyl,adaboost-methyl,random_scm-rna,adaboost-rna_iso,random_scm-rna_iso,samba-rna_iso,adaboost-mirna,random_forest-rna_iso,adaboost-rna,random_forest-rna,samba-rna
Train,0.7618343195266272,0.9911242603550295,0.9437869822485208,0.8210059171597632,0.8653846153846154,0.8831360946745562,0.9245562130177515,0.9319526627218935,1.0,1.0,1.0,0.9955621301775148,0.9837278106508875,1.0,0.9718934911242604,0.977810650887574,0.9837278106508875,1.0,0.9792899408284024,1.0,1.0,0.9837278106508875,1.0,0.9837278106508875,0.9866863905325444,1.0,0.9940828402366864,1.0,1.0,0.9866863905325444
Test,0.6858407079646017,0.7079646017699115,0.7654867256637168,0.7920353982300885,0.7964601769911505,0.8495575221238938,0.8849557522123894,0.9070796460176991,0.9247787610619469,0.9380530973451328,0.9513274336283186,0.9513274336283186,0.9557522123893806,0.9557522123893806,0.9646017699115044,0.9690265486725663,0.9734513274336283,0.9778761061946902,0.9778761061946902,0.9778761061946902,0.9778761061946902,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9867256637168141,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761
