,hps,fit,pred
decision_tree-methyl,13.559000968001783,0.8666504590000841,0.0012365149959805422
adaboost-methyl,235.9611159740016,18.465234505994886,0.08887104699533666
samba-methyl,326.9155181850001,31.65695076600241,0.1538437260023784
random_forest-methyl,50.59785907100013,1.5566661099946941,0.015995132001989987
random_scm-methyl,136.73338566700113,0.45254179099720204,0.057981715995993
scm-methyl,4.3662985199989635,0.1939689209975768,0.00044557100045494735
decision_tree-rna_iso,9.289005962004012,0.08086174799973378,0.0012426290049916133
adaboost-rna_iso,224.7659717419956,29.580716392003524,0.144595792000473
samba-rna_iso,353.0334607600016,4.276109709004231,0.08346737200190546
random_forest-rna_iso,45.24684134200652,3.3087078649987234,0.029208371001004707
random_scm-rna_iso,189.9466500089984,4.993596439999237,0.1358925989989075
scm-rna_iso,4.6215445440029725,0.19311907300289022,0.00046136900346027687
decision_tree-rna,7.335026824999659,1.0225236219994258,0.0012739279991365038
adaboost-rna,269.9889105780021,46.00722625000344,0.1580658009988838
samba-rna,342.55155423199903,32.02172642899677,0.16279867599951103
random_forest-rna,41.04343484599667,4.970138591997966,0.039826640000683255
random_scm-rna,117.13912430999335,2.579144563002046,0.03814663000230212
scm-rna,4.800310319995333,0.19399380299728364,0.00045175699779065326
decision_tree-mirna,2.7713640040019527,0.19818218699947465,0.0002972779984702356
adaboost-mirna,66.36700637000467,5.5613041979959235,0.04026608599815518
samba-mirna,101.56426579199615,16.289552424001158,0.11377843000082066
random_forest-mirna,29.73431489500217,0.3011615889990935,0.006075683995732106
random_scm-mirna,27.187326147999556,4.713348096003756,0.0485327150017838
scm-mirna,1.1816455230000429,0.027912213998206425,0.0001890359999379143
decision_tree-clinic,0.3587116859998787,0.0021638390026055276,0.00019247699674451724
adaboost-clinic,5.348809650000476,0.012246842998138163,0.0017012649987009354
samba-clinic,65.38269147699611,13.614864456998475,0.09919972000352573
random_forest-clinic,7.89207563400123,0.32392650700057857,0.023796021996531636
random_scm-clinic,9.034309718001168,0.3441608389985049,0.01780657999916002
scm-clinic,0.604602731000341,0.004574256003252231,0.00017271899560000747
